2026-08-12 18:58:24 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 18:58:27 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 18:58:27 | SUCCESS | app.compliance.retriever:__init__:46 | Compliance retriever initialized.
2026-08-12 18:58:27 | SUCCESS | app.compliance.group_retriever:__init__:96 | Compliance group retriever initialized.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 5: found 7 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 6: found 6 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 7: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 8: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 9: found 12 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 10: found 1 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 12: found 8 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 13: found 10 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 14: found 14 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 15: found 6 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 16: found 1 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 17: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 18: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 19: found 1 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 20: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 21: found 6 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 22: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 24: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 25: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 26: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 28: found 8 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 30: found 5 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 32: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 33: found 5 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 34: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 35: found 8 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 37: found 7 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 38: found 6 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 39: found 4 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 44: found 1 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 45: found 1 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 46: found 3 compliance groups.
2026-08-12 18:58:27 | INFO | app.compliance.group_retriever:get_groups:145 | Article 49: found 6 compliance groups.
2026-08-12 18:58:27 | INFO | __main__:generate:180 | Found 165 GDPR groups.
2026-08-12 18:58:27 | INFO | __main__:generate:214 | Already cached: 0/165 groups.
2026-08-12 18:58:27 | INFO | __main__:generate:243 | Remaining groups to embed: 165
2026-08-12 18:58:27 | INFO | __main__:generate:281 | Embedding batch 1/4 | 50 groups
2026-08-12 18:58:31 | SUCCESS | __main__:save:406 | GDPR embedding cache saved to H:\compliance_officer\data\gdpr\gdpr_group_embeddings.json
2026-08-12 18:58:31 | SUCCESS | __main__:generate:361 | Saved batch 1/4. Progress: 50/165
2026-08-12 18:58:31 | INFO | __main__:generate:281 | Embedding batch 2/4 | 50 groups
2026-08-12 18:58:34 | SUCCESS | __main__:save:406 | GDPR embedding cache saved to H:\compliance_officer\data\gdpr\gdpr_group_embeddings.json
